;Abgeordnete;Partei;Vorname;Nachname;E-Mail;Wahlkreis;PLZ
222;Andreas Mehltretter;SPD;Andreas;Mehltretter;andreas.mehltretter@bundestag.de;Freising;['84072', '84104', '85077', '85084', '85088', '85107', '85119', '85126', '85238', '85276', '85283', '85290', '85293', '85296', '85298', '85301', '85302', '85304', '85305', '85307', '85309', '85354', '85356', '85368', '85375', '85376', '85386', '85391', '85395', '85399', '85402', '85405', '85406', '85408', '85410', '85411', '85413', '85414', '85416', '85417', '85419', '85777', '86558', '86561']
223;Siemtje Möller;SPD;Siemtje;Möller;siemtje.möller@bundestag.de;Friesland – Wilhelmshaven – Wittmund;['26316', '26340', '26345', '26382', '26384', '26386', '26388', '26389', '26409', '26419', '26427', '26434', '26441', '26446', '26452', '26465', '26474', '26486', '26487', '26489', '26556']
224;Anne Janssen;CDU/CSU (CDU);Anne;Janssen;anne.janssen@bundestag.de;Friesland – Wilhelmshaven – Wittmund;['26316', '26340', '26345', '26382', '26384', '26386', '26388', '26389', '26409', '26419', '26427', '26434', '26441', '26446', '26452', '26465', '26474', '26486', '26487', '26489', '26556']
225;Joachim Wundrak;AfD;Joachim;Wundrak;joachim.wundrak@bundestag.de;Friesland – Wilhelmshaven – Wittmund;['26316', '26340', '26345', '26382', '26384', '26386', '26388', '26389', '26409', '26419', '26427', '26434', '26441', '26446', '26452', '26465', '26474', '26486', '26487', '26489', '26556']
226;Michael Brand;CDU/CSU (CDU);Michael;Brand;michael.brand@bundestag.de;Fulda;['35327', '36037', '36039', '36041', '36043', '36088', '36093', '36100', '36103', '36110', '36115', '36119', '36124', '36129', '36132', '36137', '36142', '36145', '36148', '36151', '36154', '36157', '36160', '36163', '36167', '36169', '36318', '36323', '36341', '36355', '36358', '36364', '36367', '36369', '36399']
227;Jürgen Lenders;FDP;Jürgen;Lenders;jürgen.lenders@bundestag.de;Fulda;['35327', '36037', '36039', '36041', '36043', '36088', '36093', '36100', '36103', '36110', '36115', '36119', '36124', '36129', '36132', '36137', '36142', '36145', '36148', '36151', '36154', '36157', '36160', '36163', '36167', '36169', '36318', '36323', '36341', '36355', '36358', '36364', '36367', '36369', '36399']
228;Beate Walter-Rosenheimer;Grüne;Beate;Walter-Rosenheimer;beate.walter-rosenheimer@bundestag.de;Fürstenfeldbruck;['82110', '82140', '82178', '82194', '82216', '82223', '82239', '82256', '82272', '82275', '82276', '82278', '82281', '82284', '82285', '82287', '82288', '82290', '82291', '82293', '82294', '82296', '82299', '85221', '85229', '85232', '85235', '85241', '85244', '85247', '85250', '85253', '85254', '85256', '85258', '85259', '85757', '85778', '86567']
229;Michael Schrodi;SPD;Michael;Schrodi;michael.schrodi@bundestag.de;Fürstenfeldbruck;['82110', '82140', '82178', '82194', '82216', '82223', '82239', '82256', '82272', '82275', '82276', '82278', '82281', '82284', '82285', '82287', '82288', '82290', '82291', '82293', '82294', '82296', '82299', '85221', '85229', '85232', '85235', '85241', '85244', '85247', '85250', '85253', '85254', '85256', '85258', '85259', '85757', '85778', '86567']
230;Katrin Staffler;CDU/CSU (CSU);Katrin;Staffler;katrin.staffler@bundestag.de;Fürstenfeldbruck;['82110', '82140', '82178', '82194', '82216', '82223', '82239', '82256', '82272', '82275', '82276', '82278', '82281', '82284', '82285', '82287', '82288', '82290', '82291', '82293', '82294', '82296', '82299', '85221', '85229', '85232', '85235', '85241', '85244', '85247', '85250', '85253', '85254', '85256', '85258', '85259', '85757', '85778', '86567']
231;Tobias Winkler;CDU/CSU (CSU);Tobias;Winkler;tobias.winkler@bundestag.de;Fürth;['90513', '90522', '90547', '90556', '90574', '90579', '90587', '90613', '90614', '90616', '90617', '90619', '90762', '90763', '90765', '90766', '90768', '91413', '91438', '91443', '91448', '91452', '91456', '91459', '91460', '91462', '91463', '91465', '91466', '91468', '91469', '91471', '91472', '91474', '91477', '91478', '91480', '91481', '91483', '91484', '91486', '91489', '91593', '91605', '91613', '91619', '96152', '97215', '97258']
232;Carsten Träger;SPD;Carsten;Träger;carsten.träger@bundestag.de;Fürth;['90513', '90522', '90547', '90556', '90574', '90579', '90587', '90613', '90614', '90616', '90617', '90619', '90762', '90763', '90765', '90766', '90768', '91413', '91438', '91443', '91448', '91452', '91456', '91459', '91460', '91462', '91463', '91465', '91466', '91468', '91469', '91471', '91472', '91474', '91477', '91478', '91480', '91481', '91483', '91484', '91486', '91489', '91593', '91605', '91613', '91619', '96152', '97215', '97258']
233;Marco Buschmann;FDP;Marco;Buschmann;marco.buschmann@bundestag.de;Gelsenkirchen;['45879', '45881', '45883', '45884', '45886', '45888', '45889', '45891', '45892', '45894', '45896', '45897', '45899']
234;Irene Mihalic;Grüne;Irene;Mihalic;irene.mihalic@bundestag.de;Gelsenkirchen;['45879', '45881', '45883', '45884', '45886', '45888', '45889', '45891', '45892', '45894', '45896', '45897', '45899']
235;Jörg Schneider;AfD;Jörg;Schneider;jörg.schneider@bundestag.de;Gelsenkirchen;['45879', '45881', '45883', '45884', '45886', '45888', '45889', '45891', '45892', '45894', '45896', '45897', '45899']
236;Markus Töns;SPD;Markus;Töns;markus.töns@bundestag.de;Gelsenkirchen;['45879', '45881', '45883', '45884', '45886', '45888', '45889', '45891', '45892', '45894', '45896', '45897', '45899']
237;Stephan Brandner;AfD;Stephan;Brandner;stephan.brandner@bundestag.de;Gera – Greiz – Altenburger Land;['04600', '04603', '04610', '04613', '04617', '04618', '04626', '04639', '07554', '07557', '07570', '07580', '07586', '07589', '07937', '07950', '07955', '07957', '07958', '07973', '07980', '07987', '07989']
238;Elisabeth Kaiser;SPD;Elisabeth;Kaiser;elisabeth.kaiser@bundestag.de;Gera – Greiz – Altenburger Land;['04600', '04603', '04610', '04613', '04617', '04618', '04626', '04639', '07554', '07557', '07570', '07580', '07586', '07589', '07937', '07950', '07955', '07957', '07958', '07973', '07980', '07987', '07989']
239;Ali Al-Dailami;Linke;Ali;Al-Dailami;ali.al-dailami@bundestag.de;Gießen;['35305', '35315', '35321', '35325', '35329', '35390', '35392', '35394', '35396', '35398', '35410', '35415', '35418', '35423', '35428', '35440', '35447', '35452', '35457', '35460', '35463', '35466', '35469', '36304', '36320', '36325', '36326', '36329']
240;Helge Braun;CDU/CSU (CDU);Helge;Braun;helge.braun@bundestag.de;Gießen;['35305', '35315', '35321', '35325', '35329', '35390', '35392', '35394', '35396', '35398', '35410', '35415', '35418', '35423', '35428', '35440', '35447', '35452', '35457', '35460', '35463', '35466', '35469', '36304', '36320', '36325', '36326', '36329']
241;Felix Döring;SPD;Felix;Döring;felix.döring@bundestag.de;Gießen;['35305', '35315', '35321', '35325', '35329', '35390', '35392', '35394', '35396', '35398', '35410', '35415', '35418', '35423', '35428', '35440', '35447', '35452', '35457', '35460', '35463', '35466', '35469', '36304', '36320', '36325', '36326', '36329']
242;Uwe Schulz;AfD;Uwe;Schulz;uwe.schulz@bundestag.de;Gießen;['35305', '35315', '35321', '35325', '35329', '35390', '35392', '35394', '35396', '35398', '35410', '35415', '35418', '35423', '35428', '35440', '35447', '35452', '35457', '35460', '35463', '35466', '35469', '36304', '36320', '36325', '36326', '36329']
243;Hubertus Heil;SPD;Hubertus;Heil;hubertus.heil@bundestag.de;Gifhorn – Peine;['29365', '29367', '29369', '29378', '29379', '29386', '29392', '29393', '29396', '29399', '31224', '31226', '31228', '31234', '31241', '31246', '31249', '38159', '38176', '38179', '38268', '38518', '38524', '38527', '38528', '38530', '38531', '38533', '38536', '38539', '38542', '38543', '38547', '38550', '38551', '38553', '38559']
244;Heike Baehrens;SPD;Heike;Baehrens;heike.baehrens@bundestag.de;Göppingen;['73033', '73035', '73037', '73054', '73061', '73066', '73072', '73079', '73084', '73087', '73092', '73095', '73098', '73099', '73101', '73102', '73104', '73105', '73107', '73108', '73110', '73111', '73113', '73114', '73116', '73117', '73119', '73278', '73312', '73326', '73329', '73333', '73337', '73342', '73344', '73345', '73347', '73349', '89558']
245;Hermann Färber;CDU/CSU (CDU);Hermann;Färber;hermann.färber@bundestag.de;Göppingen;['73033', '73035', '73037', '73054', '73061', '73066', '73072', '73079', '73084', '73087', '73092', '73095', '73098', '73099', '73101', '73102', '73104', '73105', '73107', '73108', '73110', '73111', '73113', '73114', '73116', '73117', '73119', '73278', '73312', '73326', '73329', '73333', '73337', '73342', '73344', '73345', '73347', '73349', '89558']
246;Tino Chrupalla;AfD;Tino;Chrupalla;tino.chrupalla@bundestag.de;Görlitz;['02708', '02708', '02708', '02708', '02708', '02708', '02727', '02730', '02736', '02739', '02742', '02747', '02747', '02747', '02748', '02763', '02779', '02782', '02785', '02788', '02791', '02794', '02796', '02797', '02799', '02826', '02828', '02829', '02894', '02899', '02906', '02923', '02929', '02943', '02953', '02956', '02957', '02959']
247;Frauke Heiligenstadt;SPD;Frauke;Heiligenstadt;frauke.heiligenstadt@bundestag.de;Goslar – Northeim – Osterode;['37154', '37176', '37181', '37186', '37191', '37197', '37199', '37412', '37412', '37444', '37445', '37447', '37449', '37520', '37534', '37539', '37547', '37574', '37581', '37586', '37589', '38640', '38642', '38644', '38667', '38678', '38690', '38700', '38707', '38709']
248;Karoline Otte;Grüne;Karoline;Otte;karoline.otte@bundestag.de;Goslar – Northeim – Osterode;['37154', '37176', '37181', '37186', '37191', '37197', '37199', '37412', '37412', '37444', '37445', '37447', '37449', '37520', '37534', '37539', '37547', '37574', '37581', '37586', '37589', '38640', '38642', '38644', '38667', '38678', '38690', '38700', '38707', '38709']
249;Marcus Bühl;AfD;Marcus;Bühl;marcus.bühl@bundestag.de;Gotha – Ilm-Kreis;['98559', '98693', '98701', '98704', '98708', '98711', '98714', '98716', '99100', '99102', '99192', '99310', '99326', '99330', '99334', '99338', '99867', '99869', '99880', '99885', '99887', '99891', '99894', '99897', '99958']
250;Jürgen Trittin;Grüne;Jürgen;Trittin;jürgen.trittin@bundestag.de;Göttingen;['34346', '34355', '37073', '37075', '37077', '37079', '37081', '37083', '37085', '37115', '37120', '37124', '37127', '37130', '37133', '37136', '37139', '37412', '37431', '37434', '37441']
251;Konstantin Kuhle;FDP;Konstantin;Kuhle;konstantin.kuhle@bundestag.de;Göttingen;['34346', '34355', '37073', '37075', '37077', '37079', '37081', '37083', '37085', '37115', '37120', '37124', '37127', '37130', '37133', '37136', '37139', '37412', '37431', '37434', '37441']
252;Fritz Güntzler;CDU/CSU (CDU);Fritz;Güntzler;fritz.güntzler@bundestag.de;Göttingen;['34346', '34355', '37073', '37075', '37077', '37079', '37081', '37083', '37085', '37115', '37120', '37124', '37127', '37130', '37133', '37136', '37139', '37412', '37431', '37434', '37441']
253;Andreas Philippi;SPD;Andreas;Philippi;andreas.philippi@bundestag.de;Göttingen;['34346', '34355', '37073', '37075', '37077', '37079', '37081', '37083', '37085', '37115', '37120', '37124', '37127', '37130', '37133', '37136', '37139', '37412', '37431', '37434', '37441']
254;Melanie Wegling;SPD;Melanie;Wegling;melanie.wegling@bundestag.de;Groß-Gerau;['64521', '64546', '64560', '64569', '64572', '64579', '64584', '64589', '65428', '65451', '65462', '65468', '65474', '65479']
255;Ralph Brinkhaus;CDU/CSU (CDU);Ralph;Brinkhaus;ralph.brinkhaus@bundestag.de;Gütersloh I;['33330', '33332', '33334', '33335', '33378', '33397', '33415', '33428', '33442', '33449', '33775', '33790', '33803', '33829']
256;Janosch Dahmen;Grüne;Janosch;Dahmen;janosch.dahmen@bundestag.de;Hagen – Ennepe-Ruhr-Kreis I;['58089', '58091', '58093', '58095', '58097', '58099', '58119', '58135', '58256', '58285', '58332', '58339']
257;Katrin Helling-Plahr;FDP;Katrin;Helling-Plahr;katrin.helling-plahr@bundestag.de;Hagen – Ennepe-Ruhr-Kreis I;['58089', '58091', '58093', '58095', '58097', '58099', '58119', '58135', '58256', '58285', '58332', '58339']
258;Timo Schisanowski;SPD;Timo;Schisanowski;timo.schisanowski@bundestag.de;Hagen – Ennepe-Ruhr-Kreis I;['58089', '58091', '58093', '58095', '58097', '58099', '58119', '58135', '58256', '58285', '58332', '58339']
259;Petra Sitte;Linke;Petra;Sitte;petra.sitte@bundestag.de;Halle;['06100', '06108', '06110', '06112', '06114', '06116', '06118', '06120', '06122', '06124', '06126', '06128', '06130', '06132', '06184', '06188', '06193', '06193', '06193', '06193', '06193', '06193']
260;Karamba Diaby;SPD;Karamba;Diaby;karamba.diaby@bundestag.de;Halle;['06100', '06108', '06110', '06112', '06114', '06116', '06118', '06120', '06122', '06124', '06126', '06128', '06130', '06132', '06184', '06188', '06193', '06193', '06193', '06193', '06193', '06193']
261;Bernd Baumann;AfD;Bernd;Baumann;bernd.baumann@bundestag.de;Hamburg-Altona;['20257', '20357', '20357', '20357', '20359', '20359', '22525', '22547', '22547', '22549', '22559', '22587', '22589', '22605', '22607', '22609', '22761', '22763', '22765', '22767', '22767', '22767', '22769', '22769', '22769']
262;Linda Heitmann;Grüne;Linda;Heitmann;linda.heitmann@bundestag.de;Hamburg-Altona;['20257', '20357', '20357', '20357', '20359', '20359', '22525', '22547', '22547', '22549', '22559', '22587', '22589', '22605', '22607', '22609', '22761', '22763', '22765', '22767', '22767', '22767', '22769', '22769', '22769']
263;Metin Hakverdi;SPD;Metin;Hakverdi;metin.hakverdi@bundestag.de;Hamburg-Bergedorf – Harburg;['20457', '20539', '20539', '21029', '21031', '21033', '21035', '21037', '21039', '21039', '21039', '21039', '21073', '21075', '21077', '21079', '21107', '21109', '21129', '21129', '21129', '21129', '21129', '21129', '21147', '21149', '22113', '22113', '22113', '22113', '22115']
264;Żaklin Nastić;Linke;Żaklin;Nastić;żaklin.nastić@bundestag.de;Hamburg-Eimsbüttel;['20144', '20144', '20144', '20146', '20148', '20149', '20249', '20253', '20253', '20253', '20253', '20255', '20257', '20259', '20354', '20357', '22453', '22453', '22455', '22457', '22459', '22523', '22525', '22525', '22525', '22527', '22529', '22529', '22529', '22529', '22547', '22769', '22769']
265;Niels Annen;SPD;Niels;Annen;niels.annen@bundestag.de;Hamburg-Eimsbüttel;['20144', '20144', '20144', '20146', '20148', '20149', '20249', '20253', '20253', '20253', '20253', '20255', '20257', '20259', '20354', '20357', '22453', '22453', '22455', '22457', '22459', '22523', '22525', '22525', '22525', '22527', '22529', '22529', '22529', '22529', '22547', '22769', '22769']
266;Till Steffen;Grüne;Till;Steffen;till.steffen@bundestag.de;Hamburg-Eimsbüttel;['20144', '20144', '20144', '20146', '20148', '20149', '20249', '20253', '20253', '20253', '20253', '20255', '20257', '20259', '20354', '20357', '22453', '22453', '22455', '22457', '22459', '22523', '22525', '22525', '22525', '22527', '22529', '22529', '22529', '22529', '22547', '22769', '22769']
267;Falko Droßmann;SPD;Falko;Droßmann;falko.droßmann@bundestag.de;Hamburg-Mitte;['20095', '20097', '20099', '20354', '20354', '20355', '20357', '20359', '20359', '20457', '20457', '20457', '20457', '20459', '20535', '20537', '20539', '21109', '21129', '21129', '22049', '22081', '22083', '22085', '22087', '22089', '22089', '22089', '22111', '22113', '22113', '22113', '22115', '22117', '22119', '22177', '22297', '22303', '22305', '22305', '22307', '22309', '22767', '22769', '27499']
268;Christoph de Vries;CDU/CSU (CDU);Christoph;de;christoph.de@bundestag.de;Hamburg-Mitte;['20095', '20097', '20099', '20354', '20354', '20355', '20357', '20359', '20359', '20457', '20457', '20457', '20457', '20459', '20535', '20537', '20539', '21109', '21129', '21129', '22049', '22081', '22083', '22085', '22087', '22089', '22089', '22089', '22111', '22113', '22113', '22113', '22115', '22117', '22119', '22177', '22297', '22303', '22305', '22305', '22307', '22309', '22767', '22769', '27499']
269;Dorothee Martin;SPD;Dorothee;Martin;dorothee.martin@bundestag.de;Hamburg-Nord;['20144', '20249', '20249', '20249', '20251', '20253', '22297', '22297', '22297', '22299', '22301', '22303', '22309', '22335', '22337', '22339', '22359', '22391', '22393', '22393', '22393', '22395', '22397', '22399', '22415', '22417', '22419', '22453', '22453', '22529', '22529']
270;Katharina Beck;Grüne;Katharina;Beck;katharina.beck@bundestag.de;Hamburg-Nord;['20144', '20249', '20249', '20249', '20251', '20253', '22297', '22297', '22297', '22299', '22301', '22303', '22309', '22335', '22337', '22339', '22359', '22391', '22393', '22393', '22393', '22395', '22397', '22399', '22415', '22417', '22419', '22453', '22453', '22529', '22529']
271;Christoph Ploß;CDU/CSU (CDU);Christoph;Ploß;christoph.ploß@bundestag.de;Hamburg-Nord;['20144', '20249', '20249', '20249', '20251', '20253', '22297', '22297', '22297', '22299', '22301', '22303', '22309', '22335', '22337', '22339', '22359', '22391', '22393', '22393', '22393', '22395', '22397', '22399', '22415', '22417', '22419', '22453', '22453', '22529', '22529']
